"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 06 02:40:51 GMT 2022","Wed Jul 06 02:40:51 GMT 2022","0","","Multi-Tab - Display","","Multi-Tab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"passed","Wed Jul 06 02:41:03 GMT 2022","Wed Jul 06 02:41:04 GMT 2022","215","","Multi-Tab - Display","","Multi-Tab - Display","Display_007 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_007 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"passed","Wed Jul 06 02:41:03 GMT 2022","Wed Jul 06 02:41:03 GMT 2022","1","","Multi-Tab - Display","","Multi-Tab - Display","Display_005 - Verify multi-tab display correctly if there is multiple sections of multi-tab","Display_005 - Verify multi-tab display correctly if there is multiple sections of multi-tab",""
"passed","Wed Jul 06 02:41:03 GMT 2022","Wed Jul 06 02:41:03 GMT 2022","0","","Multi-Tab - Display","","Multi-Tab - Display","Display_006 - Verify multi-tab display correctly if there is new field added to any tab","Display_006 - Verify multi-tab display correctly if there is new field added to any tab",""
"passed","Wed Jul 06 02:40:14 GMT 2022","Wed Jul 06 02:40:19 GMT 2022","5558","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"passed","Wed Jul 06 02:40:51 GMT 2022","Wed Jul 06 02:41:03 GMT 2022","12693","","Multi-Tab - Display","","Multi-Tab - Display","Display_004 - Verify multi-tab display correctly if there is only 1 tab","Display_004 - Verify multi-tab display correctly if there is only 1 tab",""
"passed","Wed Jul 06 02:39:47 GMT 2022","Wed Jul 06 02:39:55 GMT 2022","8449","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"passed","Wed Jul 06 02:40:51 GMT 2022","Wed Jul 06 02:40:51 GMT 2022","1","","Multi-Tab - Display","","Multi-Tab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"passed","Wed Jul 06 02:40:05 GMT 2022","Wed Jul 06 02:40:14 GMT 2022","8714","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"passed","Wed Jul 06 02:40:19 GMT 2022","Wed Jul 06 02:40:51 GMT 2022","31441","","Multi-Tab - Display","","Multi-Tab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"passed","Wed Jul 06 02:39:55 GMT 2022","Wed Jul 06 02:40:05 GMT 2022","9717","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
