"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 01 14:18:04 GMT 2022","Mon Aug 01 14:18:14 GMT 2022","10126","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"failed","Mon Aug 01 14:19:17 GMT 2022","Mon Aug 01 14:19:36 GMT 2022","18902","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"passed","Mon Aug 01 14:17:54 GMT 2022","Mon Aug 01 14:18:04 GMT 2022","9637","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"broken","Mon Aug 01 14:18:44 GMT 2022","Mon Aug 01 14:19:17 GMT 2022","33263","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"passed","Mon Aug 01 14:18:22 GMT 2022","Mon Aug 01 14:18:27 GMT 2022","4896","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"skipped","Mon Aug 01 14:20:22 GMT 2022","Mon Aug 01 14:20:22 GMT 2022","84","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"failed","Mon Aug 01 14:19:36 GMT 2022","Mon Aug 01 14:19:49 GMT 2022","12506","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections","Display_004 - Verify multi-tab display correctly if there is multiple sections",""
"broken","Mon Aug 01 14:18:27 GMT 2022","Mon Aug 01 14:18:44 GMT 2022","17004","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"failed","Mon Aug 01 14:20:09 GMT 2022","Mon Aug 01 14:20:22 GMT 2022","12982","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"failed","Mon Aug 01 14:19:49 GMT 2022","Mon Aug 01 14:20:09 GMT 2022","19743","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
"passed","Mon Aug 01 14:18:14 GMT 2022","Mon Aug 01 14:18:22 GMT 2022","8564","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
