"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 15 07:46:49 GMT 2022","Fri Jul 15 07:47:00 GMT 2022","10988","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"broken","Fri Jul 15 07:47:10 GMT 2022","Fri Jul 15 07:47:21 GMT 2022","10284","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"passed","Fri Jul 15 07:47:41 GMT 2022","Fri Jul 15 07:47:42 GMT 2022","408","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"broken","Fri Jul 15 07:47:21 GMT 2022","Fri Jul 15 07:47:31 GMT 2022","10395","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"broken","Fri Jul 15 07:47:31 GMT 2022","Fri Jul 15 07:47:41 GMT 2022","10224","","MultiTab - Display","","MultiTab - Display","""before all"" hook for MultiTab - Display","""before all"" hook for MultiTab - Display",""
"broken","Fri Jul 15 07:47:00 GMT 2022","Fri Jul 15 07:47:10 GMT 2022","10316","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
