"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 16 15:22:14 GMT 2022","Sat Jul 16 15:22:24 GMT 2022","10336","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"broken","Sat Jul 16 15:21:53 GMT 2022","Sat Jul 16 15:22:04 GMT 2022","10868","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"broken","Sat Jul 16 15:22:04 GMT 2022","Sat Jul 16 15:22:14 GMT 2022","10355","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"broken","Sat Jul 16 15:22:35 GMT 2022","Sat Jul 16 15:22:45 GMT 2022","10288","","MultiTab - Display","","MultiTab - Display","""before all"" hook for MultiTab - Display","""before all"" hook for MultiTab - Display",""
"broken","Sat Jul 16 15:22:24 GMT 2022","Sat Jul 16 15:22:35 GMT 2022","10452","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"passed","Sat Jul 16 15:22:45 GMT 2022","Sat Jul 16 15:22:45 GMT 2022","115","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
