"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Aug 01 14:17:49 GMT 2022","Mon Aug 01 14:17:59 GMT 2022","10078","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"skipped","Mon Aug 01 14:18:59 GMT 2022","Mon Aug 01 14:18:59 GMT 2022","49","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"passed","Mon Aug 01 14:17:15 GMT 2022","Mon Aug 01 14:17:23 GMT 2022","8105","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"passed","Mon Aug 01 14:17:23 GMT 2022","Mon Aug 01 14:17:31 GMT 2022","8224","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"broken","Mon Aug 01 14:17:59 GMT 2022","Mon Aug 01 14:18:10 GMT 2022","10477","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"passed","Mon Aug 01 14:17:31 GMT 2022","Mon Aug 01 14:17:37 GMT 2022","5166","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"passed","Mon Aug 01 14:17:07 GMT 2022","Mon Aug 01 14:17:15 GMT 2022","8432","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"failed","Mon Aug 01 14:18:26 GMT 2022","Mon Aug 01 14:18:46 GMT 2022","19884","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
"failed","Mon Aug 01 14:18:10 GMT 2022","Mon Aug 01 14:18:26 GMT 2022","16613","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections","Display_004 - Verify multi-tab display correctly if there is multiple sections",""
"failed","Mon Aug 01 14:18:46 GMT 2022","Mon Aug 01 14:18:59 GMT 2022","12828","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"failed","Mon Aug 01 14:17:37 GMT 2022","Mon Aug 01 14:17:49 GMT 2022","12493","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
