"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 17 11:55:19 GMT 2022","Sun Jul 17 11:55:52 GMT 2022","32665","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"skipped","Sun Jul 17 11:55:52 GMT 2022","Sun Jul 17 11:55:52 GMT 2022","282","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"skipped","Sun Jul 17 11:55:52 GMT 2022","Sun Jul 17 11:55:52 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"passed","Sun Jul 17 11:54:03 GMT 2022","Sun Jul 17 11:54:57 GMT 2022","53378","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"passed","Sun Jul 17 11:53:59 GMT 2022","Sun Jul 17 11:54:03 GMT 2022","4554","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"passed","Sun Jul 17 11:53:41 GMT 2022","Sun Jul 17 11:53:51 GMT 2022","10006","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"passed","Sun Jul 17 11:53:32 GMT 2022","Sun Jul 17 11:53:41 GMT 2022","8803","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"passed","Sun Jul 17 11:53:51 GMT 2022","Sun Jul 17 11:53:59 GMT 2022","7677","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"passed","Sun Jul 17 11:54:57 GMT 2022","Sun Jul 17 11:55:19 GMT 2022","22915","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"skipped","Sun Jul 17 11:55:52 GMT 2022","Sun Jul 17 11:55:52 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab","Display_004 - Verify multi-tab display correctly if there is multiple sections of multi-tab",""
"skipped","Sun Jul 17 11:55:52 GMT 2022","Sun Jul 17 11:55:52 GMT 2022","0","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
