"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 16 15:31:37 GMT 2022","Sat Jul 16 15:31:48 GMT 2022","10190","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"broken","Sat Jul 16 15:32:09 GMT 2022","Sat Jul 16 15:32:19 GMT 2022","10219","","MultiTab - Display","","MultiTab - Display","""before all"" hook for MultiTab - Display","""before all"" hook for MultiTab - Display",""
"broken","Sat Jul 16 15:31:58 GMT 2022","Sat Jul 16 15:32:09 GMT 2022","10762","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"passed","Sat Jul 16 15:32:19 GMT 2022","Sat Jul 16 15:32:19 GMT 2022","550","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"broken","Sat Jul 16 15:31:24 GMT 2022","Sat Jul 16 15:31:37 GMT 2022","13472","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"broken","Sat Jul 16 15:31:48 GMT 2022","Sat Jul 16 15:31:58 GMT 2022","10165","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
