"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 17 15:12:23 GMT 2022","Sun Jul 17 15:12:23 GMT 2022","302","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"broken","Sun Jul 17 15:12:02 GMT 2022","Sun Jul 17 15:12:12 GMT 2022","10420","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"broken","Sun Jul 17 15:11:52 GMT 2022","Sun Jul 17 15:12:02 GMT 2022","10277","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"broken","Sun Jul 17 15:11:41 GMT 2022","Sun Jul 17 15:11:52 GMT 2022","10280","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"broken","Sun Jul 17 15:11:26 GMT 2022","Sun Jul 17 15:11:41 GMT 2022","15096","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"broken","Sun Jul 17 15:12:12 GMT 2022","Sun Jul 17 15:12:23 GMT 2022","10233","","MultiTab - Display","","MultiTab - Display","""before all"" hook for MultiTab - Display","""before all"" hook for MultiTab - Display",""
