"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 15 08:07:34 GMT 2022","Fri Jul 15 08:07:45 GMT 2022","10328","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"broken","Fri Jul 15 08:07:55 GMT 2022","Fri Jul 15 08:08:05 GMT 2022","10459","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"broken","Fri Jul 15 08:08:05 GMT 2022","Fri Jul 15 08:08:15 GMT 2022","9797","","MultiTab - Display","","MultiTab - Display","""before all"" hook for MultiTab - Display","""before all"" hook for MultiTab - Display",""
"broken","Fri Jul 15 08:07:23 GMT 2022","Fri Jul 15 08:07:34 GMT 2022","11009","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"passed","Fri Jul 15 08:08:15 GMT 2022","Fri Jul 15 08:08:16 GMT 2022","506","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"broken","Fri Jul 15 08:07:45 GMT 2022","Fri Jul 15 08:07:55 GMT 2022","10334","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
