"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 07:04:08 GMT 2022","Tue Jul 05 07:04:08 GMT 2022","0","","Multi-Tab - Display","","Multi-Tab - Display","Display_006 - Verify multi-tab display correctly if there is new field added to any tab","Display_006 - Verify multi-tab display correctly if there is new field added to any tab",""
"passed","Tue Jul 05 07:02:55 GMT 2022","Tue Jul 05 07:03:03 GMT 2022","7995","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"passed","Tue Jul 05 07:03:25 GMT 2022","Tue Jul 05 07:03:55 GMT 2022","29974","","Multi-Tab - Display","","Multi-Tab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"passed","Tue Jul 05 07:04:08 GMT 2022","Tue Jul 05 07:04:08 GMT 2022","181","","Multi-Tab - Display","","Multi-Tab - Display","Display_007 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_007 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
"passed","Tue Jul 05 07:03:21 GMT 2022","Tue Jul 05 07:03:25 GMT 2022","4370","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"passed","Tue Jul 05 07:03:12 GMT 2022","Tue Jul 05 07:03:21 GMT 2022","8526","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"passed","Tue Jul 05 07:04:08 GMT 2022","Tue Jul 05 07:04:08 GMT 2022","1","","Multi-Tab - Display","","Multi-Tab - Display","Display_005 - Verify multi-tab display correctly if there is multiple sections of multi-tab","Display_005 - Verify multi-tab display correctly if there is multiple sections of multi-tab",""
"passed","Tue Jul 05 07:03:55 GMT 2022","Tue Jul 05 07:03:55 GMT 2022","0","","Multi-Tab - Display","","Multi-Tab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"passed","Tue Jul 05 07:03:55 GMT 2022","Tue Jul 05 07:03:55 GMT 2022","1","","Multi-Tab - Display","","Multi-Tab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"passed","Tue Jul 05 07:03:55 GMT 2022","Tue Jul 05 07:04:08 GMT 2022","12530","","Multi-Tab - Display","","Multi-Tab - Display","Display_004 - Verify multi-tab display correctly if there is only 1 tab","Display_004 - Verify multi-tab display correctly if there is only 1 tab",""
"passed","Tue Jul 05 07:03:03 GMT 2022","Tue Jul 05 07:03:12 GMT 2022","9409","","Multi-Tab - Settings","","Multi-Tab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
