"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 02 23:22:44 GMT 2022","Tue Aug 02 23:22:53 GMT 2022","9119","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"passed","Tue Aug 02 23:23:02 GMT 2022","Tue Aug 02 23:23:07 GMT 2022","5896","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"failed","Tue Aug 02 23:24:01 GMT 2022","Tue Aug 02 23:24:14 GMT 2022","13554","","MultiTab - Display","","MultiTab - Display","Display_004 - Verify multi-tab display correctly if there is multiple sections","Display_004 - Verify multi-tab display correctly if there is multiple sections",""
"failed","Tue Aug 02 23:23:42 GMT 2022","Tue Aug 02 23:24:01 GMT 2022","18374","","MultiTab - Display","","MultiTab - Display","Display_003 - Verify ""Remember last selected tab"" feature work correctly","Display_003 - Verify ""Remember last selected tab"" feature work correctly",""
"passed","Tue Aug 02 23:22:53 GMT 2022","Tue Aug 02 23:23:02 GMT 2022","8226","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"failed","Tue Aug 02 23:23:07 GMT 2022","Tue Aug 02 23:23:29 GMT 2022","21815","","MultiTab - Display","","MultiTab - Display","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1","Display_001 - Verify multi-tab display correctly if the number of tabs greater than 1",""
"failed","Tue Aug 02 23:23:29 GMT 2022","Tue Aug 02 23:23:42 GMT 2022","13016","","MultiTab - Display","","MultiTab - Display","Display_002 - Verify default tab can be changed and display correctly","Display_002 - Verify default tab can be changed and display correctly",""
"skipped","Tue Aug 02 23:24:49 GMT 2022","Tue Aug 02 23:24:49 GMT 2022","46","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"passed","Tue Aug 02 23:22:33 GMT 2022","Tue Aug 02 23:22:44 GMT 2022","10814","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"failed","Tue Aug 02 23:24:14 GMT 2022","Tue Aug 02 23:24:35 GMT 2022","21007","","MultiTab - Display","","MultiTab - Display","Display_005 - Verify multi-tab display correctly if there is new field added to any tab","Display_005 - Verify multi-tab display correctly if there is new field added to any tab",""
"failed","Tue Aug 02 23:24:35 GMT 2022","Tue Aug 02 23:24:49 GMT 2022","13342","","MultiTab - Display","","MultiTab - Display","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab","Display_006 - Verify multi-tab display correctly if there is a field removed out of to any tab",""
