"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 15 06:58:41 GMT 2022","Fri Jul 15 06:58:52 GMT 2022","10451","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"broken","Fri Jul 15 06:58:10 GMT 2022","Fri Jul 15 06:58:21 GMT 2022","10778","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
"broken","Fri Jul 15 06:58:31 GMT 2022","Fri Jul 15 06:58:41 GMT 2022","10331","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"broken","Fri Jul 15 06:58:52 GMT 2022","Fri Jul 15 06:59:02 GMT 2022","10225","","MultiTab - Display","","MultiTab - Display","""before all"" hook for MultiTab - Display","""before all"" hook for MultiTab - Display",""
"broken","Fri Jul 15 06:58:21 GMT 2022","Fri Jul 15 06:58:31 GMT 2022","10332","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"passed","Fri Jul 15 06:59:02 GMT 2022","Fri Jul 15 06:59:02 GMT 2022","264","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
