"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 15 07:38:17 GMT 2022","Fri Jul 15 07:38:18 GMT 2022","565","","MultiTab - Display","","MultiTab - Display","Display_007 - Verify multi-tab display correctly if there is only 1 tab","Display_007 - Verify multi-tab display correctly if there is only 1 tab",""
"broken","Fri Jul 15 07:37:36 GMT 2022","Fri Jul 15 07:37:46 GMT 2022","10285","","MultiTab - Settings","","MultiTab - Settings","Setting_002: Verify plugin can be set successfully - section 1","Setting_002: Verify plugin can be set successfully - section 1",""
"broken","Fri Jul 15 07:37:46 GMT 2022","Fri Jul 15 07:37:56 GMT 2022","9790","","MultiTab - Settings","","MultiTab - Settings","Setting_003: Verify plugin can be set successfully - section 2","Setting_003: Verify plugin can be set successfully - section 2",""
"broken","Fri Jul 15 07:38:07 GMT 2022","Fri Jul 15 07:38:17 GMT 2022","10297","","MultiTab - Display","","MultiTab - Display","""before all"" hook for MultiTab - Display","""before all"" hook for MultiTab - Display",""
"broken","Fri Jul 15 07:37:56 GMT 2022","Fri Jul 15 07:38:07 GMT 2022","10507","","MultiTab - Settings","","MultiTab - Settings","Setting_004: Verify plugin can be removed out of app successfully","Setting_004: Verify plugin can be removed out of app successfully",""
"broken","Fri Jul 15 07:37:25 GMT 2022","Fri Jul 15 07:37:36 GMT 2022","11084","","MultiTab - Settings","","MultiTab - Settings","Setting_001: Verify plugin can be added into app successfully","Setting_001: Verify plugin can be added into app successfully",""
